id;bailleur;type_cooperation;type_fond;montant_a_rembourser;interet;echeance;date;total
1;payment Investor;Nepalese Rupee;embrace SAS;91614;96108;2020-07-07;2020-07-07;26924
2;purple Chicken Technician;Fantastic Steel Hat Sleek Plastic Fish;JSON Cambridgeshire;96699;44931;2020-07-07;2020-07-08;64043
3;Awesome Plastic Table Fantastic invoice;Estate driver Home Loan Account;Multi-lateral Outdoors;51987;20003;2020-07-08;2020-07-08;59463
4;Generic Wooden Soap value-added Checking Account;Licensed backing up;Representative Focused reintermediate;38773;3393;2020-07-07;2020-07-07;60754
5;Nepal;Shoes navigate;Shirt;34080;59952;2020-07-08;2020-07-08;26379
6;quantifying;frictionless Soft;Iowa Credit Card Account Concrete;90010;37332;2020-07-07;2020-07-07;70293
7;Panama Jewelery;deploy Kids Cape;Buckinghamshire;77775;346;2020-07-07;2020-07-08;26088
8;Plain Producer;Glens monitor back up;engage;77741;55156;2020-07-08;2020-07-08;85129
9;Ergonomic Cloned Sausages;synthesizing Colorado;Games;99085;48849;2020-07-08;2020-07-07;9652
10;Unbranded Plastic Chips Tasty;copying markets Brunei Darussalam;navigate Officer Refined Steel Chicken;1803;54228;2020-07-07;2020-07-08;18010
