id;organisme;categorie;groupe;principale;interet;echeance;date;total
1;matrix Function-based;Rubber Cambridgeshire;Avon Wooden Minnesota;87553;35177;2020-07-07;2020-07-08;77219
2;interfaces Licensed;Product encompassing;deposit;70009;98903;2020-07-07;2020-07-08;78810
3;New York e-markets holistic;Monitored;expedite gold Buckinghamshire;86266;40049;2020-07-07;2020-07-07;62803
4;archive Avon Kip;reboot Assurance Green;Organized Beauty Representative;14080;50366;2020-07-07;2020-07-07;9206
5;Home Loan Account invoice Computer;Chair;Frozen;25774;35521;2020-07-08;2020-07-07;14839
6;Home;Saint Kitts and Nevis Salad;Supervisor Personal Loan Account;64563;95751;2020-07-07;2020-07-08;56708
7;bandwidth;microchip;Music overriding;59044;93530;2020-07-07;2020-07-07;44816
8;array;Toys Response;solution leading edge Money Market Account;3890;22217;2020-07-07;2020-07-07;48046
9;Egyptian Pound;Practical Frozen Bacon back-end;applications Music Manager;25831;29147;2020-07-07;2020-07-07;46790
10;calculate;fuchsia Guatemala methodologies;Checking Account;61954;71620;2020-07-07;2020-07-07;77318
